,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
connectivity_group,osm,direct_no_coordinates,connected,0.07942654026627052,0.00698621027116162,0.15594322305731093,0.011683850606073845,-0.0934729114355588,0.04927877455949733,0.6124614410528745,0.029509261697588426
connectivity_group,osm,direct_no_coordinates,disconnected,0.123920275569292,0.03890560262632236,0.32784893288835026,0.048500591244198345,,,0.0,0.0
connectivity_group,osm,direct_no_fiedler,connected,0.07946631177036931,0.007575744812488228,0.15375904627017284,0.015306651568686479,-0.06074343052972673,0.07475723820336239,0.6098503029108542,0.04150351268979501
connectivity_group,osm,direct_no_fiedler,disconnected,0.10685647098986088,0.015904499603909408,0.3092883258411179,0.023812280321048207,,,0.0,0.0
connectivity_group,osm,residual_full,connected,0.0704507293876919,0.010278013453618078,0.14392494051430324,0.013149880747964932,0.06863699301958963,0.0791453485312419,0.7829223601848916,0.035854033607168996
connectivity_group,osm,residual_full,disconnected,0.1120211373175756,0.038002169472247306,0.31207774013325534,0.04914624122746252,,,0.0,0.0
connectivity_group,osm,residual_no_coordinates,connected,0.06944706810376762,0.009544673538749026,0.14406935364092113,0.013638614063860304,0.06871111365496145,0.05078671200111328,0.7969052121512876,0.04291504751110111
connectivity_group,osm,residual_no_coordinates,disconnected,0.11685328953111455,0.02885246265411922,0.3202648988069199,0.039508937013480454,,,0.0,0.0
connectivity_group,osm,residual_no_fiedler,connected,0.06802173111002854,0.00994999212081177,0.14249491116249852,0.01228707000855061,0.0877086936252675,0.05636959516894703,0.8132192281735504,0.038887159668021296
connectivity_group,osm,residual_no_fiedler,disconnected,0.10202808411031064,0.0136180284516896,0.2960120515349015,0.015517533191999921,,,0.0,0.0
connectivity_group,osm,spectral,connected,0.07859164872688228,0.006890213020202017,0.1554719547548717,0.011079718102188583,-0.08661031948463704,0.012352360274353751,0.87242823632,0.019541394558335267
connectivity_group,osm,spectral,disconnected,0.9670217783506809,0.0013143522688154588,0.9682028124268168,0.0012410831543661403,,,0.0,0.0
connectivity_group,osm,summary_mlp,connected,0.08372978687832484,0.005998520447659215,0.15146405289581252,0.011572184087735455,-0.03443442266019583,0.10039091377297127,0.4365877191425504,0.04123142069814297
connectivity_group,osm,summary_mlp,disconnected,0.49621035766230365,0.14140059652803466,0.5903114062887177,0.13631658462102558,,,0.0,0.0
connectivity_group,synthetic,deepsets,connected,0.06339992952659268,0.014418235473365026,0.1100007646253224,0.02745017780481202,-0.5575328550037003,0.45796153623007696,0.19518584798516958,0.18253555674418365
connectivity_group,synthetic,deepsets,disconnected,0.27876677903537156,0.08327873595607628,0.460048316629722,0.0883378621201749,,,0.0,0.0
connectivity_group,synthetic,direct_full,connected,0.06376916538625989,0.019308689441502207,0.11916266322092414,0.05430242878348195,-1.0783517004338912,1.9746192813255088,0.4170341314692066,0.17516308047070553
connectivity_group,synthetic,direct_full,disconnected,0.19990726673751233,0.07690075160764252,0.39478945315819025,0.07880397101309285,,,0.0,0.0
