seed,domain,model,group,mae,rmse,r2,spearman,analysis
22,osm,direct_no_coordinates,Q3,0.035035753435571165,0.0899960960413709,0.9601192141668445,0.8834342681159837,density_quartile
22,osm,direct_no_coordinates,Q4,0.1627987233727234,0.35210949528928387,-0.5780499396108958,0.6743523639367649,density_quartile
22,osm,direct_no_fiedler,Q1,0.09025053214821162,0.23746213903405172,0.735777268138599,0.8820315234854341,density_quartile
22,osm,direct_no_fiedler,Q2,0.09179230791541121,0.2556654208115291,0.6885142899025949,0.8789604329667932,density_quartile
22,osm,direct_no_fiedler,Q3,0.03614465418587209,0.0941485402307148,0.9563540905142104,0.8686519001509012,density_quartile
22,osm,direct_no_fiedler,Q4,0.18501320834965873,0.3884404919494849,-0.9204997736663385,0.6602410628041196,density_quartile
22,osm,residual_full,Q1,0.06999335164239431,0.20513252518622382,0.8024462209186005,0.8697152673946685,density_quartile
22,osm,residual_full,Q2,0.08327681292799224,0.22708680785289231,0.7402258508942899,0.9153602569349384,density_quartile
22,osm,residual_full,Q3,0.03655816095478686,0.09054278227834614,0.9596332265015689,0.9246682742390759,density_quartile
22,osm,residual_full,Q4,0.17523249070060448,0.37327540307595414,-0.7734706910578482,0.6657693302255606,density_quartile
22,osm,residual_no_coordinates,Q1,0.06741489353139482,0.196588535991742,0.818560154940172,0.862165143475123,density_quartile
22,osm,residual_no_coordinates,Q2,0.10031634477804045,0.24614725897885079,0.674798958962257,0.9215139815111588,density_quartile
22,osm,residual_no_coordinates,Q3,0.04521737130099624,0.14297213073939335,0.9057967186138599,0.9289072742525898,density_quartile
22,osm,residual_no_coordinates,Q4,0.16390069036741065,0.3530107845092509,-0.5861388989344289,0.6612563448621883,density_quartile
22,osm,residual_no_fiedler,Q1,0.07063376682621379,0.21011579389830784,0.7927313176937087,0.8734103303907177,density_quartile
22,osm,residual_no_fiedler,Q2,0.10254529209605684,0.2595636133657107,0.659476118011777,0.9071724531757616,density_quartile
22,osm,residual_no_fiedler,Q3,0.04276250996854051,0.11822712044610303,0.9359245705731787,0.9312418854002378,density_quartile
22,osm,residual_no_fiedler,Q4,0.17428353886369627,0.3723268512239608,-0.7644688040343783,0.6740715230057951,density_quartile
22,osm,spectral,Q1,0.41040221207421934,0.6165849433048184,-0.784851628975995,0.3136483882541771,density_quartile
22,osm,spectral,Q2,0.6414074520123392,0.770954763097664,-2.190213225472084,0.18878628493628058,density_quartile
22,osm,spectral,Q3,0.5955799911973328,0.7489066375883111,-1.6726956154891361,0.3355809792856058,density_quartile
22,osm,spectral,Q4,0.6089293173283902,0.7472536684804241,-1.8360898561454255,0.29900635576053197,density_quartile
22,osm,summary_mlp,Q1,0.3261511853517506,0.4741201318568551,-0.055341660052677266,0.7453524172173499,density_quartile
22,osm,summary_mlp,Q2,0.4101311788052009,0.4923050456904229,-0.30085980021634473,0.834736515968859,density_quartile
22,osm,summary_mlp,Q3,0.2828698958799455,0.36666910097786454,0.3593176363983913,0.8327904487779862,density_quartile
22,osm,summary_mlp,Q4,0.15919377641311738,0.2751982599745159,0.6153415810799379,0.820132439530897,density_quartile
22,synthetic,deepsets,Q1,0.08914198678564453,0.17786196183741707,0.5933999325029571,0.256510752285302,density_quartile
22,synthetic,deepsets,Q2,0.05780932296411469,0.07315977432196409,0.9146321101031121,0.6486035910880494,density_quartile
22,synthetic,deepsets,Q3,0.0815848809825765,0.15262336474539304,0.6394854770620126,0.5254967398232654,density_quartile
22,synthetic,deepsets,Q4,0.08818276607023964,0.14244592613912813,-0.22738543448325577,0.30712162049515124,density_quartile
22,synthetic,direct_full,Q1,0.08059629551898043,0.15971842193971428,0.6721227295627785,0.5258637592832446,density_quartile
22,synthetic,direct_full,Q2,0.0582971535811067,0.09494282825574708,0.8562280503579511,0.7685936631461923,density_quartile
22,synthetic,direct_full,Q3,0.07237521698995052,0.11960336459001357,0.7786051516699033,0.41408443019717667,density_quartile
22,synthetic,direct_full,Q4,0.05011427874678812,0.13144590593000366,-0.04514134056594221,0.40502389701087044,density_quartile
22,synthetic,direct_no_coordinates,Q1,0.08031772622670331,0.18151372075336458,0.576532379832041,0.5324790970235802,density_quartile
22,synthetic,direct_no_coordinates,Q2,0.04141780604850443,0.06492916740087952,0.9327597220123742,0.7643690939410782,density_quartile
22,synthetic,direct_no_coordinates,Q3,0.07164857948003932,0.14793875398041112,0.6612770446425553,0.41250034881991227,density_quartile
22,synthetic,direct_no_coordinates,Q4,0.046769899820442294,0.13101049578313212,-0.038228817161241935,0.38157163513675035,density_quartile
22,synthetic,direct_no_fiedler,Q1,0.0687306720133361,0.14778094065063543,0.719302759649242,0.5421519438035669,density_quartile
22,synthetic,direct_no_fiedler,Q2,0.043166906475048866,0.06521976370836373,0.9321564953488652,0.7564758198999443,density_quartile
22,synthetic,direct_no_fiedler,Q3,0.0625810342112481,0.10783701374034041,0.8200232428669622,0.4214768099577437,density_quartile
22,synthetic,direct_no_fiedler,Q4,0.04812405474390026,0.12968751037271675,-0.01736596582937522,0.4023173747533968,density_quartile
