area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
cantho,Vietnam,114.0,178.0,11,spatial_cluster,direct_sage,0.10875235475926141,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,residual_edge_mpnn,0.03160711299523045,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,residual_full,0.023914111694818434,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,residual_sage,0.08260926632027522,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,spectral,0.6899737226360277,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,spectral_second_order,0.6847329104900951,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,direct_edge_mpnn,0.07785689504203486,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,direct_full,0.055175630880827733,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,direct_sage,0.06918585656885337,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,residual_edge_mpnn,0.0389684887853903,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,residual_full,0.029046421471647755,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,residual_sage,0.05572958039912579,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,spectral,0.21755126558600885,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,targeted,spectral_second_order,0.2122937783051296,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,direct_edge_mpnn,0.037236553396995976,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,direct_full,0.041079017844514,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,direct_sage,0.034153196597152345,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,residual_edge_mpnn,0.03943396822840106,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,residual_full,0.02692335744376826,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,residual_sage,0.02082564455989235,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,spectral,0.13206365294515363,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,independent,spectral_second_order,0.1304512890265837,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,direct_edge_mpnn,0.11862741848563796,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,direct_full,0.05057563013965989,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,direct_sage,0.038521162376012406,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,residual_edge_mpnn,0.07077773424291806,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,residual_full,0.017233030212942695,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,residual_sage,0.009916260510399826,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,spectral,0.3622189747677876,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,spatial_cluster,spectral_second_order,0.36005213493306765,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,direct_edge_mpnn,0.12860856190968992,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,direct_full,0.09996615403733763,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,direct_sage,0.12806361874036104,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,residual_edge_mpnn,0.10620435645200399,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,residual_full,0.11737994269687317,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,residual_sage,0.10293519928873118,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,spectral,0.1868733584850258,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,22,targeted,spectral_second_order,0.182351927272779,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,direct_edge_mpnn,0.2513889465400976,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,direct_full,0.04553487718057298,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,direct_sage,0.0333196701465027,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,residual_edge_mpnn,0.06797960759372097,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,residual_full,0.017636632387690105,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,residual_sage,0.015046125607479435,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,spectral,0.22943757685023652,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,independent,spectral_second_order,0.22772636603784774,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,direct_edge_mpnn,0.5139995921750684,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,direct_full,0.05835263504382084,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,direct_sage,0.053726990136465536,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,residual_edge_mpnn,0.1505240755974019,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,residual_full,0.04472544192086356,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,residual_sage,0.04309967434666792,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,spectral,0.49357269252964403,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,spatial_cluster,spectral_second_order,0.48789725610617873,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,direct_edge_mpnn,0.1712185082513699,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,direct_full,0.07787614915482857,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,direct_sage,0.07589266705232099,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,residual_edge_mpnn,0.06285723548483933,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,residual_full,0.05943773764785711,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,residual_sage,0.05367251304111824,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,spectral,0.12952823572070302,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,33,targeted,spectral_second_order,0.12465921572036498,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,direct_edge_mpnn,0.04127519266688046,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,direct_full,0.03719252259150911,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,direct_sage,0.062058006039932966,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,residual_edge_mpnn,0.009560238691317802,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,residual_full,0.013207600844057029,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,residual_sage,0.02106638104408437,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,spectral,0.46682711793713816,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,independent,spectral_second_order,0.46443435540390476,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,direct_edge_mpnn,0.220862290523834,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,direct_full,0.12507889591696725,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,direct_sage,0.11135202892588594,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,residual_edge_mpnn,0.09449309568108147,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,residual_full,0.12462484730185994,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,residual_sage,0.1300550393247805,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,spectral,0.5668571306841754,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,spatial_cluster,spectral_second_order,0.5609727394347345,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,direct_edge_mpnn,0.09794905986807852,20,1.1845383241700216
